D,L,P,G,Tin,X,CHF
0.004,0.396,100,77.5,23.94,0.84,442
0.004,0.396,100,142.7,23.94,0.79,757
0.004,0.396,100,203.9,23.94,0.7,978
0.004,0.396,100,271.8,23.94,0.73,1325
0.004,0.396,100,421.3,23.94,0.62,1798
0.004,0.396,100,543.6,23.94,0.58,2239
0.004,0.396,100,679.5,23.94,0.55,2712
0.004,0.396,100,978.5,23.94,0.5,3564
0.004,0.594,100,77.5,22.27,0.88,300
0.004,0.594,100,135.9,22.27,0.81,505
0.004,0.594,100,203.9,22.27,0.75,694
0.004,0.594,100,258.2,20.6,0.71,852
0.004,0.594,100,407.7,20.6,0.63,1199
0.004,0.594,100,543.6,20.6,0.6,1514
0.004,0.594,100,693.1,20.6,0.58,1892
0.004,0.594,100,992.1,20.6,0.56,2618
0.004,0.792,100,78.8,20.6,0.74,196
0.004,0.792,100,135.9,20.6,0.76,347
0.004,0.792,100,217.5,20.6,0.72,536
0.004,0.792,100,244.6,20.6,0.75,631
0.004,0.792,100,407.7,21.08,0.64,915
0.004,0.792,100,543.6,21.08,0.6,1135
0.004,0.792,100,706.7,21.08,0.58,1451
0.004,0.792,100,720.3,22.27,0.59,1482
0.004,0.792,100,203.9,22.27,0.75,505
0.004,0.991,100,78.8,21.08,0.95,196
0.004,0.991,100,135.9,21.08,0.89,315
0.004,0.991,100,203.9,21.08,0.8,442
0.004,0.991,100,271.8,21.08,0.81,568
0.004,0.991,100,421.3,21.08,0.72,820
0.004,0.991,100,421.3,21.08,0.74,820
0.004,0.991,100,421.3,21.08,0.7,789
0.004,0.991,100,421.3,21.08,0.79,883
0.0048,0.478,100,69.3,23.47,0.99,442
0.0048,0.478,100,135.9,23.47,0.83,757
0.0048,0.478,100,203.9,23.47,0.74,1041
0.0048,0.478,100,285.4,23.47,0.69,1325
0.0048,0.478,100,407.7,23.47,0.58,1672
0.0048,0.478,100,543.6,23.47,0.55,2145
0.0048,0.478,100,665.9,23.47,0.54,2586
0.0048,0.478,100,706.7,23.47,0.53,2649
0.0048,0.478,100,937.8,23.47,0.48,3280
0.0048,0.716,100,135.9,21.79,0.89,536
